69
163.278;343.817;1784.770.7;0
157.956;341.351;1799.470.7;0
158.614;350.2;1815.190.7;0
168.13;351.032;1819.870.7;0
162.796;349.268;1825.310.7;0
173.271;347.46;1836.120.7;0
175.646;346.327;1841.740.7;0
167.893;344.527;1861.80.7;0
175.008;339.15;1867.060.7;0
177.38;339.766;1877.210.7;0
176.395;337.139;1882.390.7;0
186.348;336.6;1894.020.7;0
195.751;339.117;1892.90.7;0
214.161;346.718;1892.980.7;0
207.302;343.264;1893.660.7;0
211.799;336.539;1898.820.7;0
216.118;329.916;1897.40.7;0
219.936;333.758;1896.510.7;0
222.91;338.706;1895.930.7;0
228.841;342.001;1908.960.7;0
235.66;352.336;1908.460.7;0
227.53;352.101;1909.130.7;0
204.386;368.878;1931.380.7;0
184.885;372.102;1933.240.7;0
171.045;367.237;1928.30.7;0
141.794;350.736;1917.740.7;0
115.182;323.605;1907.450.7;0
109.258;317.934;1886.780.7;0
98.4617;301.087;1861.630.7;0
93.2139;278.443;1844.690.7;0
82.714;253.153;1835.240.7;0
64.9392;222.144;1832.040.7;0
59.9242;186.241;1823.950.7;0
51.3519;152.29;1824.660.7;0
52.1786;123.807;1829.390.7;0
54.5724;98.4505;1842.580.7;0
50.5753;95.1872;1852.770.7;0
47.5196;84.117;1861.580.7;0
48.7891;105.308;1878.470.7;0
32.1033;107.353;1889.460.7;0
20.0455;117.754;1897.080.7;0
3.25023;109.796;1886.650.7;0
-8.45373;127.719;1874.210.7;0
-25.4643;127.428;1864.360.7;0
-26.0017;123.743;1856.790.7;0
-12.8899;118.363;1852.960.7;0
0.238789;117.794;1855.790.7;0
7.13481;113.487;1866.040.7;0
4.89729;113.061;1870.210.7;0
8.19952;116.387;1880.190.7;0
-2.49727;119.222;1887.390.7;0
-19.7284;114.607;1892.90.7;0
-42.4797;96.5394;1907.220.7;0
-51.753;97.3844;1924.980.7;0
-48.4388;91.0331;1944.810.7;0
-34.003;81.5141;1979.910.7;0
-5.77797;65.4967;2005.940.7;0
14.3711;49.901;2020.330.7;0
11.2634;-3.34361;20200.7;0
47.8187;22.9274;2032.080.7;0
58.1053;1.5882;2024.420.7;0
38.0371;-9.57079;2003.030.7;0
196.356;6.23058;2049.630.7;0
4.48512;-3.33479;1993.780.7;0
-18.511;4.35796;1992.270.7;0
-54.2757;11.695;1988.170.7;0
-96.2839;37.0243;1982.930.7;0
-146.954;63.4331;1974.810.7;0
-209.599;119.903;1962.770.7;0
