228
7;259.887;316.829;1632.45
10;364.665;-442.563;1720.55
12;374.717;-908.629;1679.54
3;412.334;19.6933;1799.88
8;254.366;-218.656;1784.59
0;241.388;220.994;1868.8
4;-57.6808;212.259;1731.2
13;167.232;-1375.77;1697.35
6;194.54;353.78;1631.52
9;150.693;-460.76;1756.54
11;154.894;-928.597;1745.99
2;83.9768;-4.65256;1855.36
1;246.348;4.58611;1826.88
5;527.621;169.424;1650.92
14;393.784;-1357.7;1606.7
7;259.443;315.395;1632.09
10;363.058;-448.677;1719.29
12;370.856;-915.429;1686.4
3;408.719;13.8248;1798.4
8;251.612;-225.066;1782.4
0;239.844;215.963;1870.91
4;-62.8476;212.55;1732.87
13;165.371;-1380.96;1703.43
6;191.047;351.173;1633.3
9;150.101;-465.375;1755.49
11;153.523;-933.262;1747.07
2;83.3042;-10.3605;1859.14
1;244.96;-0.0970459;1827.28
5;528.03;170.804;1651.46
14;387.714;-1362.87;1615.48
7;259.231;315.802;1633.44
10;361.531;-451.952;1713.82
12;367.613;-919.144;1687.45
3;406.615;10.1664;1795.41
8;250.388;-229.38;1780.97
0;238.212;215.835;1870.82
4;-66.6714;212.126;1734.49
13;164.372;-1382.1;1711.16
6;188.349;349.474;1635.97
9;150.333;-466.052;1757.03
11;153.11;-933.971;1750.31
2;82.4128;-11.1601;1860.54
1;243.798;-0.266663;1827.42
5;528.312;171.306;1654.01
14;383.83;-1364.19;1627.64
7;259.778;316.752;1635.34
10;361.409;-451.805;1713.72
12;366.174;-919.278;1692.61
3;405.183;10.6268;1794.31
8;249.835;-229.598;1781.4
0;236.315;219.144;1873.66
4;-68.8456;211.403;1737.24
13;168.023;-1379.27;1715.4
6;186.174;348.451;1638.26
9;155.158;-462.858;1755.89
11;157.404;-930.797;1750.52
2;82.5005;-9.00523;1860.64
1;244.185;3.2724;1829.53
5;528.713;172.38;1654.48
14;385.908;-1360.32;1639.68
7;259.533;316.713;1636.37
10;366.625;-446.8;1715.21
12;370.373;-914.454;1698.3
3;405.869;15.55;1798.43
8;252.538;-225.778;1782.54
0;234.462;219.457;1875.32
4;-71.245;210.607;1739.27
13;168.933;-1378.72;1716.24
6;184.759;347.239;1642.27
9;157.174;-462.011;1752.04
11;158.986;-929.963;1747.75
2;81.4389;-8.82402;1857.49
1;243.753;3.84167;1830.21
5;529.457;172.939;1656.19
14;386.114;-1359.86;1649.95
7;260;316.769;1638.09
10;369.465;-445.446;1716.36
12;372.421;-913.215;1702.82
3;406.067;16.5074;1802.93
8;253.536;-224.943;1782.2
0;232.829;219.415;1876.21
4;-75.4939;212.138;1741.94
13;169.772;-1378.9;1718.47
6;182.404;346.141;1646.34
9;159.046;-461.951;1750.17
11;160.506;-929.911;1746.75
2;80.6695;-9.2495;1855.82
1;243.303;3.94173;1830.67
5;530.766;173.54;1657.4
14;386.181;-1359.82;1658.77
7;261.034;316.886;1639.51
10;371.755;-444.698;1717.28
12;374.093;-912.541;1706.44
3;405.937;17.1329;1805.52
8;254.352;-224.691;1782.2
0;231.995;217.429;1875.57
4;-76.4085;213.405;1744.52
13;170.465;-1381.13;1720.17
6;181.908;346.043;1648.12
9;160.697;-463.985;1748.29
11;161.872;-931.951;1745.55
2;80.5011;-11.5838;1853.89
1;243.29;2.02748;1829.87
5;531.137;174.456;1658.44
14;386.15;-1361.87;1665.22
7;262.004;319.159;1642.78
10;373.608;-446.183;1716.87
12;375.462;-914.074;1708.19
3;406.078;15.6387;1805.85
8;255.221;-226.528;1781.22
0;232.069;215.54;1876.07
4;-77.8516;213.769;1745.89
13;171.78;-1383.18;1722.62
6;181.038;345.724;1650.07
9;162.898;-465.882;1747.59
11;163.842;-933.851;1745.41
2;81.3354;-14.0032;1854.4
1;243.998;0.280548;1829.85
5;531.453;175.051;1659.12
14;386.58;-1363.33;1669.81
7;262.605;320.475;1645.32
10;375.645;-447.2;1715.48
12;377.117;-915.121;1708.54
3;406.661;14.5643;1805.29
8;256.635;-228.13;1780.69
0;232.793;215.426;1875.02
4;-77.0433;212.175;1745.75
13;171.011;-1383.61;1725.81
6;181.201;346.778;1651.93
9;162.943;-466.189;1748.02
11;163.701;-934.16;1746.27
2;81.9048;-13.9772;1853.83
1;244.568;0.0923767;1829.1
5;531.989;176.265;1660.82
14;385.251;-1364.27;1675.22
7;263.024;321.252;1644.9
10;375.691;-447.788;1715.67
12;376.862;-915.728;1710.12
3;407.231;14.162;1804.37
8;256.943;-228.448;1780.47
0;233.379;220.505;1877.01
4;-78.146;212.773;1745.87
13;169.888;-1378.8;1731.65
6;181.149;347.188;1654.72
9;162.568;-461.273;1751.41
11;163.176;-929.246;1750.01
2;82.423;-9.00957;1857.69
1;244.811;5.11183;1831.28
5;532.3;177.192;1662.01
14;383.336;-1359.57;1680.97
7;263.007;321.68;1647.01
10;374.956;-442.804;1716.86
12;375.888;-910.757;1712.41
3;407.2;19.2332;1804.86
8;256.787;-223.463;1782.71
0;234.183;224.465;1876.8
4;-78.2523;213.738;1747.42
13;167.801;-1375.08;1735.75
6;181.062;346.672;1654.17
9;161.166;-457.475;1753.36
11;161.653;-925.449;1752.24
2;82.4819;-4.65234;1858.33
1;244.883;8.90984;1831.67
5;532.395;176.142;1663.46
14;380.932;-1356.73;1686.6
7;263.617;321.541;1647.98
10;373.57;-439.737;1718.48
12;374.312;-907.698;1714.92
3;407.283;22.472;1805
8;256.125;-219.848;1783.79
0;233.038;226.421;1877.23
4;-73.4362;212.921;1745.93
13;165.364;-1373.23;1738.5
6;184.285;349.353;1653.36
9;159.353;-455.558;1754.21
11;159.744;-923.532;1753.31
2;80.761;-2.37065;1857.67
1;243.429;10.7679;1832.49
